date;en;nl
20/06;Blackbirds stop brooding and stop their passionate singing.;Merels stoppen met broeden en stoppen met hun gepassioneerde zang.
21/06;The first young toads are moving onto dry land.;De eerste jonge padden gaan naar het droge land.
22/06;Small skipper butterflies are on the wing.;Kleine dikkopvlinders zijn in de lucht.
23/06;Common seals are giving birth to their young on sand flats in the sea.;Gewone zeehonden brengen hun jongen ter wereld op zandbanken in zee.
24/06;Great horse-flies are emerging.;Grote paardenvliegen komen tevoorschijn.
25/06;The cuckoo gradually stops calling its own name.;De koekoek stopt geleidelijk met zijn eigen naam te roepen.
26/06;The dark green fritillary is on the wing with its black-orange chequered wings.;De donkergroene parelmoervlinder is in de lucht met zijn zwart-oranje geblokte vleugels.
27/06;Chaffinches cease singing.;Vinken stoppen met zingen.
28/06;"Harbour porpoises concentrate on breeding; their young are born eleven months later.";"Bruinvisjes concentreren zich op de voortplanting; hun jongen worden elf maanden later geboren."
29/06;Grass snakes are laying their eggs in sweltering dung hills and compost heaps.;Grasslangen leggen hun eieren in broeierige mesthopen en composthopen.
30/06;Elephant hawk-moths are visiting honeysuckle flowers for pollination.;Olifantsvlinders bezoeken kamperfoeliebloemen voor bestuiving.
01/07;Glowworms are emerging.;Gloeilampjes komen tevoorschijn.
02/07;The first wasps start looking for something sweet for their young.;De eerste wespen beginnen op zoek te gaan naar iets zoets voor hun jongen.
03/07;Rosebay willowherb is flowering.;Wilgeroosje staat in bloei.
04/07;Vervain is flowering.;Verbena staat in bloei.
05/07;Brown hawker dragonfly and willow emerald damselfly are on the wing.;Bruine glazenmaker en wilgenjuweeljuffer zijn in de lucht.
06/07;Female bats are suckling their young.;Vrouwelijke vleermuizen zogen hun jongen.
07/07;Most of the adult cuckoos have departed to Africa.;De meeste volwassen koekoeken zijn naar Afrika vertrokken.
08/07;Purple emperor butterflies on wing near willows.;Purperkeizers zijn in de lucht bij wilgen.
09/07;Young magpies are following their parents, begging them for food.;Jonge eksters volgen hun ouders en bedelen om voedsel.
10/07;Roe deer start mating.;Ree�n beginnen met paren.
11/07;Silver-washed fritillary butterflies appear.;Zilveren parelmoervlinders verschijnen.
12/07;Sundews are flowering in sphagnum bogs.;Zonnedauw staat in bloei in veenmosveengebieden.
13/07;The red berries of the rowans are ripening.;De rode bessen van de lijsterbessen rijpen.
14/07;Largest number of common blue damselflies are on the wing.;Het grootste aantal houtpantserjuffers zijn in de lucht.
15/07;In sunny places the first blackberries are ripe.;Op zonnige plekken zijn de eerste bramen rijp.
16/07;Female otters are giving birth.;Vrouwelijke otters brengen hun jongen ter wereld.
17/07;Cotton grasses and bog asphodel are flowering.;Wattenplanten en veenpluis staan in bloei.
18/07;Meadow brown butterfly, dark green fritillary and large blue are on the wing.;Bruin zandoogje, donkere groene parelmoervlinder en grote blauwe zijn in de lucht.
19/07;Song thrushes cease singing.;Zanglijsters stoppen met zingen.
20/07;Rose bedeguar galls are appearing on wild rose species.;De rozenmosgalwesp verschijnt op wilde rozensoorten.
21/07;The first chantarelle funguses are appearing in beech woods.;De eerste cantharel paddestoelen verschijnen in beukenbossen.
22/07;Most birdsong has ended but skylarks and yellowhammers are still singing.;De meeste vogelzang is ge�indigd, maar leeuweriken en geelgorzen zingen nog steeds.
23/07;Wasps on the wing abound.;Wespen zijn volop in de lucht.
24/07;The large copper can be spotted flying.;De grote koperen vlinder kan worden gespot.
25/07;Clouded yellow butterflies are appearing on clover and alfalfa fields.;Oranje zandoogjes verschijnen op klaver- en luzernevelden.
26/07;Common seals begin their display and mating ritual.;Gewone zeehonden beginnen met hun vertoning en paringsritueel.
27/07;Migrant hawker dragonflies are on the wing.;Migrant hawker libellen vliegen rond.
28/07;Small skipper butterflies are on the wing.;Kleine dikkopjes zijn in de lucht.
29/07;Water dropwort is flowering. Its roots are very poisonous.;Waterpeterselie bloeit. De wortels zijn zeer giftig.
30/07;Honeysuckle berries start ripening.;Kamperfoeliebessen beginnen te rijpen.
31/07;Gipsywort or bugleweed is in bloom in wetland areas.;Gipskruid of zenegroen bloeit in natte gebieden.
01/08;Second broods of swallows are fledging.;Tweede broedsels van zwaluwen zijn uitgevlogen.
02/08;Caterpillars of the eyed hawk-moth fully fed.;Rupsen van de oogpijl-uil zijn volledig gevoed.
03/08;Small red-eyed damselfly on wing.;Kleine rode ogenjuffer in de lucht.
04/08;The common earthball fungus attacked by the parasitical Boletus parasiticus.;De gewone aardappelbovist wordt aangevallen door de parasitaire Boletus parasiticus.
05/08;Ivy-leaved bellflower in flower.;Klimopklokje in bloei.
06/08;Foxgloves are abundant.;Vingerhoedskruid is overvloedig aanwezig.
07/08;Yellowhammers stop singing.;Geelgorzen stoppen met zingen.
08/08;Young frogs have dispersed and forage for insects in the grass.;Jonge kikkers zijn verspreid en jagen op insecten in het gras.
09/08;Devil’s-bit scabious still in flower.;Duivelsbeet blijft in bloei.
10/08;Swifts begin to leave for Africa.;Gierzwaluwen beginnen te vertrekken naar Afrika.
11/08;Small tortoiseshell butterfly on wing.;Kleine vosvlinder in de lucht.
12/08;Young slowworms hatch.;Jonge hazelwormen komen uit.
13/08;Second broods of martins fledged.;Tweede broedsels van zwaluwen zijn uitgevlogen.
14/08;Robins commence their autumn song.;Roodborstjes beginnen hun herfstlied.
15/08;Moles cast out their young.;Mollen werpen hun jongen uit.
16/08;Blue hawker dragonfly on wing.;Blauwe glazenmaker libel in de lucht.
17/08;Small emerald spreadwing on wing.;Kleine smaragdspreadwing in de lucht.
18/08;Great woolly-headed thistle flowering.;Grote wollige distel in bloei.
19/08;Larvae of elephant and privet hawk-moths almost fully fed.;Larven van olifant- en ligusterpijlstaartmotten zijn bijna volledig gevoed.
20/08;The fungus Amanita mappa appears on sandy soil under oaks and beeches.;De paddestoel Amanita mappa verschijnt op zandgrond onder eiken en beuken.
21/08;Young bats begin to catch insects for themselves and no longer need their mothers’ milk.;Jonge vleermuizen beginnen insecten voor zichzelf te vangen en hebben niet langer moedermelk nodig.
22/08;Smooth snakes are giving birth to live young.;Gladde slangen baren levende jongen.
23/08;Winged ants appear in swarms from ants’ nests.;Gevleugelde mieren verschijnen in zwermen uit mierennesten.
24/08;Lapwings flock together for their autumnal migration.;Kieviten verzamelen zich voor hun herfsttrek.
25/08;Flying alone and for the first time, young cuckoos are departing for Africa.;Jonge koekoeken vertrekken voor het eerst alleen naar Afrika.
26/08;Horn of plenty or “trumpet of death” fungus is appearing in woods.;"Hoorn des overvloeds of ""trompet des doods"" paddestoel verschijnt in bossen."
27/08;The adonis blue butterfly is on the wing.;De adonisvlinder is in de lucht.
28/08;Caterpillars of the emperor moth are feeding on heather.;Rupsen van de keizersmantel voeden zich met heide.
29/08;Adult shrews are at the end of their lives and die of exhaustion.;Volwassen spitsmuizen naderen het einde van hun leven en sterven uitputting.
30/08;The first elder berries are ripe and are eaten by wood pigeons.;De eerste vlierbessen zijn rijp en worden gegeten door houtduiven.
31/08;Peacock butterflies can be found on the wing or resting.;Dagpauwogen kunnen in de lucht of rustend worden gevonden.
01/09;Death’s-head hawkmoths are on the wing.;Doodshoofdpijlstaartmotten zijn in de lucht.
02/09;Many glistening inky cap fungi can be found.;Veel glanzende inktzwam paddestoelen kunnen worden gevonden.
03/09;Blackberries start ripening.;Bramen beginnen te rijpen.
04/09;Young natterjack toads are leaving the water.;Jonge rugstreeppadden verlaten het water.
05/09;Silk-button spangle galls are appearing on the back of oak leaves.;Zijdeknopgalappels verschijnen op de achterkant van eikenbladeren.
06/09;Fancifully shaped knopper galls are falling from oaks.;Vreemd gevormde knopper galappels vallen van eiken.
07/09;The last silver-spotted skippers can be spotted on the wing.;De laatste zilvervlekvlinders kunnen in de lucht worden gespot.
08/09;Wasp nest beetles appear from underground wasps’ nests.;Wespennestkevers komen uit ondergrondse wespennesten.
09/09;Parasol fungi appear in meadows and along road sides.;Parasolzwammen verschijnen in weilanden en langs wegen.
10/09;Crane flies or daddy longlegs are abundant.;Muggen of langpootmuggen zijn overvloedig.
11/09;The first horse chestnuts are ripe and fall from the trees.;De eerste kastanjes zijn rijp en vallen van de bomen.
12/09;Shaggy ink cap fungus appears on disturbed and nutrition-rich soils.;Stinkzwam paddestoelen verschijnen op verstoorde en voedzame bodems.
13/09;The stemless dwarf thistle can still be found blooming.;De stengelloze dwergdistel kan nog steeds bloeiend worden gevonden.
14/09;Lime trees begin to shed their leaves.;Lindebomen beginnen hun bladeren te laten vallen.
15/09;Red deer stags start their mating season rutting.;Edelherten beginnen aan hun paarseizoen te beginnen.
16/09;Common kingfishers can be spotted frequently.;Gewone ijsvogels kunnen vaak worden gespot.
17/09;The first acorns are falling.;De eerste eikels vallen.
18/09;Bracken assumes its autumnal tinting.;Varen neemt zijn herfstkleur aan.
19/09;Male badgers are preparing their burrows to accommodate multiple females.;Mannelijke dassen bereiden hun holen voor om meerdere vrouwtjes te huisvesten.
20/09;The first barn swallows and martins start their migration south.;De eerste boerenzwaluwen en huiszwaluwen beginnen aan hun trek naar het zuiden.
21/09;Beech-nuts are now plentiful in the woods.;Beechnootjes zijn nu overvloedig in de bossen.
22/09;Ivy is beginning to bloom.;Klimop begint te bloeien.
23/09;Mistle thrushes are feeding on ripe orange rowan berries.;Kramsvogels eten rijpe oranje lijsterbessen.
24/09;Caddis fly are swarming over ponds in the evening.;Kokerjuffers zwermen 's avonds over vijvers.
25/09;Turtle doves are leaving to spend the winter in West Africa.;Tortelduiven vertrekken om de winter door te brengen in West-Afrika.
26/09;Second flowering of honeysuckle.;Tweede bloei van kamperfoelie.
27/09;False truffles can be seen in pine woods, after rabbits have dug them up.;Valse truffels kunnen worden gezien in dennenbossen, nadat konijnen ze hebben opgegraven.
28/09;Dormice and squirrels are stocking up their winter supplies.;Dwergmuizen en eekhoorns leggen hun winter voorraden aan.
29/09;Scarlet waxcap fungi are appearing in fields and on lawns.;Scharlaken wasplaat paddestoelen verschijnen in velden en op gazons.
30/09;Migrating silver Y moths are on their way south.;Migrerende zilveren Y-motten zijn onderweg naar het zuiden.
01/10;Adult eels are migrating from inland waters to the sea on their way to their spawning grounds in the Sargasso Sea.;Volwassen palingen migreren van binnenwateren naar de zee op weg naar hun paaigronden in de Sargassozee.
02/10;Many trees, including beeches, are changing colour to autumn tints.;Veel bomen, waaronder beuken, veranderen van kleur naar herfsttinten.
03/10;Hips, haws and sloes are now ripe.;Rozenbottels, meidoornbessen en sleedoornbessen zijn nu rijp.
04/10;Field mushrooms in striking fairy-rings are in fields and on lawns.;Champignons met een opvallend elfenkringen zijn te vinden in velden en op gazons.
05/10;Rutting red deer are using their antlers in the competition for hinds.;Paarse edelherten gebruiken hun geweien in de concurrentie om hindes.
06/10;Fly agaric are emerging under birches and other trees.;Vliegenzwammen komen tevoorschijn onder berken en andere bomen.
07/10;Starlings are starting to roost in huge flocks.;Spreeuwen beginnen te roesten in enorme zwermen.
08/10;The last flights of the green-veined white butterfly before it hibernates as a pupa.;De laatste vluchten van de groentjevlinder voordat hij als pop gaat overwinteren.
09/10;Queen wasps are going into hibernation.;Koninginnenwespen gaan in winterslaap.
10/10;Blackbirds are feeding on fallen apples.;Merels voeden zich met gevallen appels.
11/10;Ladybird beetles are going into hibernation, often in homes.;Lieveheersbeestjes gaan in winterslaap, vaak in huizen.
